*ERROR* 	v8.1.4	2024/07/20 - 08:27:38: Date must be a string at line 179 in file classes/helper/HelperCalendar.php
*ERROR* 	v8.1.4	2024/07/20 - 14:31:59: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:31:59: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:31:59: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:31:59: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:31:59: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:32:00: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:32:00: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:32:01: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:32:07: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:28: Link to database cannot be established: SQLSTATE[42000] [1203] User wwellzc1_prest72 already has more than &#039;max_user_connections&#039; active connections at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:28: Link to database cannot be established: SQLSTATE[42000] [1203] User wwellzc1_prest72 already has more than &#039;max_user_connections&#039; active connections at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:28: Link to database cannot be established: SQLSTATE[42000] [1203] User wwellzc1_prest72 already has more than &#039;max_user_connections&#039; active connections at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:28: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:29: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:29: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:30: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:31: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:31: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:31: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:32: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:33: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:36: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:37: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:37: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:38: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:41: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:54: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 14:54:59: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 20:34:29: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 20:34:30: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 20:34:31: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 20:34:33: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 20:34:33: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 20:34:34: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 20:34:38: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 20:34:40: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 20:34:40: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 20:34:42: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 20:34:44: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 20:43:57: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 20:43:58: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 20:43:59: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 20:43:59: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
*ERROR* 	v8.1.4	2024/07/20 - 20:44:00: Link to database cannot be established: SQLSTATE[42000] [1226] User &#039;wwellzc1_prest72&#039; has exceeded the &#039;max_user_connections&#039; resource (current value: 30) at line 119 in file classes/db/DbPDO.php
